"filename", "language", "TypeScript", "Vue", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\15137\Desktop\vue3\教务系统\src\App.vue", "Vue", 0, 47, 0, 0, 0, 0, 3, 4, 54
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\base.css", "CSS", 0, 0, 0, 71, 0, 0, 2, 14, 87
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\css\content.css", "CSS", 0, 0, 0, 230, 0, 0, 0, 40, 270
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\main.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\message_font\demo.css", "CSS", 0, 0, 0, 435, 0, 0, 19, 86, 540
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\message_font\demo_index.html", "HTML", 0, 0, 0, 0, 0, 188, 2, 18, 208
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\message_font\iconfont.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\message_font\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\message_font\iconfont.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\user_font\demo.css", "CSS", 0, 0, 0, 435, 0, 0, 19, 86, 540
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\user_font\demo_index.html", "HTML", 0, 0, 0, 0, 0, 188, 2, 18, 208
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\user_font\iconfont.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\user_font\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\user_font\iconfont.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\zhuye_font\demo.css", "CSS", 0, 0, 0, 435, 0, 0, 19, 86, 540
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\zhuye_font\demo_index.html", "HTML", 0, 0, 0, 0, 0, 188, 2, 18, 208
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\zhuye_font\iconfont.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\zhuye_font\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\15137\Desktop\vue3\教务系统\src\assets\zhuye_font\iconfont.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Admin\AdminManage_Button.vue", "Vue", 0, 130, 0, 0, 0, 0, 0, 23, 153
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Admin\Admin_Info.vue", "Vue", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Admin\Admin_InfoTable.vue", "Vue", 0, 190, 0, 0, 0, 0, 0, 18, 208
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Admin\SearchAdmin.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\15137\Desktop\vue3\教务系统\src\components\Admin\SelfMessage.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 6, 89
